metabolite,pathway
(12 or 13)-methylmyristate (a15:0 or i15:0),Fatty Acid Metabolism
(14 or 15)-methylpalmitate (a17:0 or i17:0),Fatty Acid Metabolism
(16 or 17)-methylstearate (a19:0 or i19:0),Fatty Acid Metabolism
(2 or 3)-decenoate (10:1n7 or n8),Fatty Acid Metabolism
(N(1) + N(8))-acetylspermidine,Amino Acid Metabolism
(R)-3-hydroxybutyrylcarnitine,Fatty Acid Degradation
(S)-3-hydroxybutyrylcarnitine,Fatty Acid Degradation
"1,2-dilinoleoyl-GPC (18:2/18:2)",Glycerophospholipid Metabolism
"1,2-dilinoleoyl-GPE (18:2/18:2)*",Glycerophospholipid Metabolism
"1,2-dipalmitoyl-GPC (16:0/16:0)",Glycerophospholipid Metabolism
"1,2-dipalmitoyl-GPE (16:0/16:0)*",Glycerophospholipid Metabolism
"1,5-anhydroglucitol (1,5-AG)",Glycolysis / Gluconeogenesis
1-(1-enyl-oleoyl)-GPE (P-18:1)*,Ether Lipid Metabolism
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*,Ether Lipid Metabolism
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*,Ether Lipid Metabolism
1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*,Ether Lipid Metabolism
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*,Ether Lipid Metabolism
1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*,Ether Lipid Metabolism
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*,Ether Lipid Metabolism
1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*,Ether Lipid Metabolism
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*,Ether Lipid Metabolism
1-(1-enyl-palmitoyl)-GPC (P-16:0)*,Ether Lipid Metabolism
1-(1-enyl-palmitoyl)-GPE (P-16:0)*,Ether Lipid Metabolism
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,Ether Lipid Metabolism
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,Ether Lipid Metabolism
1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1),Ether Lipid Metabolism
1-(1-enyl-stearoyl)-GPE (P-18:0)*,Ether Lipid Metabolism
1-arachidonoyl-GPC (20:4n6)*,Glycerophospholipid Metabolism
1-arachidonoyl-GPE (20:4n6)*,Glycerophospholipid Metabolism
1-arachidonoyl-GPI (20:4)*,Glycerophospholipid Metabolism
1-arachidonylglycerol (20:4),Glycerolipid Metabolism
1-cerotoyl-GPC (26:0)*,Glycerophospholipid Metabolism
1-dihomo-linolenylglycerol (20:3),Glycerolipid Metabolism
1-docosahexaenoylglycerol (22:6),Glycerolipid Metabolism
1-lignoceroyl-GPC (24:0),Glycerophospholipid Metabolism
1-linolenoyl-GPC (18:3)*,Glycerophospholipid Metabolism
1-linolenoylglycerol (18:3),Glycerolipid Metabolism
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,Glycerophospholipid Metabolism
1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*,Glycerophospholipid Metabolism
1-linoleoyl-GPC (18:2),Glycerophospholipid Metabolism
1-linoleoyl-GPE (18:2)*,Glycerophospholipid Metabolism
1-linoleoyl-GPG (18:2)*,Glycerophospholipid Metabolism
1-linoleoyl-GPI (18:2)*,Glycerophospholipid Metabolism
