metabolite,pathway
TG 18:1_20:4_22:6_22.913,Glycerolipid Metabolism
TG 18:1_20:4_22:6_23.069,Glycerolipid Metabolism
TG 18:1_22:5_22:6_23.055,Glycerolipid Metabolism
TG 18:2_18:2_18:2_23.149,Glycerolipid Metabolism
TG 18:2_18:2_18:3_22.876,Glycerolipid Metabolism
TG 18:2_20:4_20:5_22.56,Glycerolipid Metabolism
TG 18:2_20:4_22:6_22.72,Glycerolipid Metabolism
TG 18:2_20:5_20:5_22.158,Glycerolipid Metabolism
TG 18:2_20:5_22:6_22.354,Glycerolipid Metabolism
TG 46:2_22.97,Glycerolipid Metabolism
TG 48:1_23.671,Glycerolipid Metabolism
TG 48:3_22.999,Glycerolipid Metabolism
TG 48:3_23.014,Glycerolipid Metabolism
TG 48:4_22.619,Glycerolipid Metabolism
TG 49:3_23.227,Glycerolipid Metabolism
TG 50:1_23.447,Glycerolipid Metabolism
TG 50:1_23.957,Glycerolipid Metabolism
TG 50:1_24.001,Glycerolipid Metabolism
TG 50:2_23.689,Glycerolipid Metabolism
TG 50:3_23.425,Glycerolipid Metabolism
TG 50:4_23.061,Glycerolipid Metabolism
TG 50:5_22.753,Glycerolipid Metabolism
TG 50:6_22.444,Glycerolipid Metabolism
TG 51:1_24.147,Glycerolipid Metabolism
TG 51:2_23.87,Glycerolipid Metabolism
TG 51:5_22.972,Glycerolipid Metabolism
TG 51:5_23.042,Glycerolipid Metabolism
TG 52:1_24.291,Glycerolipid Metabolism
TG 52:5_23.144,Glycerolipid Metabolism
TG 52:5_23.146,Glycerolipid Metabolism
TG 52:6_22.78,Glycerolipid Metabolism
TG 52:6_22.9,Glycerolipid Metabolism
TG 52:6_22.918,Glycerolipid Metabolism
TG 53:2_24.155,Glycerolipid Metabolism
TG 53:3_23,Glycerolipid Metabolism
TG 53:4_23.767,Glycerolipid Metabolism
TG 54:1_24.536,Glycerolipid Metabolism
TG 54:2_24.3,Glycerolipid Metabolism
TG 54:3_24.076,Glycerolipid Metabolism
TG 54:5_23.489,Glycerolipid Metabolism
TG 54:5_23.633,Glycerolipid Metabolism
TG 54:6_23.153,Glycerolipid Metabolism
TG 54:6_23.335,Glycerolipid Metabolism
TG 54:7_22.815,Glycerolipid Metabolism
TG 54:7_22.999,Glycerolipid Metabolism
TG 54:7_23.041,Glycerolipid Metabolism
TG 54:8_22.623,Glycerolipid Metabolism
TG 54:8_22.717,Glycerolipid Metabolism
TG 55:2_24.403,Glycerolipid Metabolism
TG 55:7_23.298,Glycerolipid Metabolism
TG 56:2_24.536,Glycerolipid Metabolism
TG 56:3_24.3,Glycerolipid Metabolism
TG 56:5_23.908,Glycerolipid Metabolism
TG 56:6_23.628,Glycerolipid Metabolism
TG 56:7_23.343,Glycerolipid Metabolism
TG 56:7_23.502,Glycerolipid Metabolism
TG 56:7_23.507,Glycerolipid Metabolism
TG 56:8_23.026,Glycerolipid Metabolism
TG 56:8_23.036,Glycerolipid Metabolism
TG 56:8_23.184,Glycerolipid Metabolism
TG 56:9_22.689,Glycerolipid Metabolism
TG 56:9_22.713,Glycerolipid Metabolism
TG 58:10_23.026,Glycerolipid Metabolism
TG 58:11_22.547,Glycerolipid Metabolism
TG 58:2_24.762,Glycerolipid Metabolism
TG 58:4_24.335,Glycerolipid Metabolism
TG 58:7_23.815,Glycerolipid Metabolism
TG 58:8_23.529,Glycerolipid Metabolism
TG 58:9_23.213,Glycerolipid Metabolism
TG 60:12_22.718,Glycerolipid Metabolism
TG 62:13_22.9,Glycerolipid Metabolism
Taurine,Amino Acid Metabolism
Taurocholic acid,Primary Bile Acid Biosynthesis
Testosterone sulfate,Steroid Hormone Biosynthesis
Tetradecanedioic acid,Fatty Acid Metabolism
Theophylline,Drug Metabolism
Threonine,Amino Acid Metabolism
Trehalose,Glycolysis / Gluconeogenesis
Uracil,Pyrimidine Metabolism
Xanthine,Purine Metabolism
cis 2 Decenoic acid,Fatty Acid Metabolism
cis 4 Hydroxy D proline,Amino Acid Metabolism
trans 3 Indoleacrylic acid,Tryptophan Metabolism
