dataset,pathway_id,pathway_name,n_metabolites,mean_control,mean_disease,pathway_score,abs_pathway_score
ST003506,hsa00010,Glycolysis / Gluconeogenesis,4,1958.3770833333335,2613.9693181818175,655.5922348484839,655.5922348484839
ST003506,hsa00250,Alanine Aspartate Glutamate Metabolism,4,249.18125,334.60909090909087,85.42784090909086,85.42784090909086
ST003506,hsa00260,Glycine Serine Threonine Metabolism,5,129.39333333333332,158.12272727272727,28.729393939393958,28.729393939393958
ST003506,hsa00280,Valine Leucine Isoleucine Degradation,8,58.92395833333333,82.81250000000001,23.888541666666683,23.888541666666683
ST003506,hsa00330,Arginine and Proline Metabolism,4,83.72083333333333,129.89545454545456,46.174621212121224,46.174621212121224
ST003506,hsa00480,Glutathione Metabolism,2,134.33333333333334,197.8318181818182,63.49848484848485,63.49848484848485
ST003506,hsa00564,Glycerophospholipid Metabolism,4,57.40833333333334,78.88522727272726,21.476893939393925,21.476893939393925
ST000356,hsa00010,Glycolysis / Gluconeogenesis,2,691.7520112903225,625.2220640776699,-66.52994721265259,66.52994721265259
ST000356,hsa00020,TCA Cycle,2,7.237887096774194,2.574243689320388,-4.663643407453806,4.663643407453806
ST000356,hsa00230,Purine Metabolism,3,9.228295698924729,14.178187378640775,4.949891679716046,4.949891679716046
ST000356,hsa00240,Pyrimidine Metabolism,5,1.4326638709677417,2.7838903883495143,1.3512265173817726,1.3512265173817726
ST000356,hsa00250,Alanine Aspartate Glutamate Metabolism,2,11.886958064516127,20.583862135922335,8.696904071406207,8.696904071406207
ST000356,hsa00260,Glycine Serine Threonine Metabolism,3,202.78881290322582,183.31516343042068,-19.473649472805135,19.473649472805135
ST000356,hsa00280,Valine Leucine Isoleucine Degradation,2,28963433.332904838,12074690.97355534,-16888742.359349497,16888742.359349497
ST000356,hsa00330,Arginine and Proline Metabolism,6,20.851695161290323,22.75155323624595,1.8998580749556275,1.8998580749556275
ST000356,hsa00340,Histidine Metabolism,2,2.547064516129032,3.0836990291262127,0.5366345129971806,0.5366345129971806
ST000356,hsa00380,Tryptophan Metabolism,5,75.14995096774194,72.42101417475729,-2.728936792984655,2.728936792984655
ST000356,hsa00430,Taurine and Hypotaurine Metabolism,2,5.215116129032258,11.382194660194173,6.167078531161915,6.167078531161915
ST000356,hsa00480,Glutathione Metabolism,3,1.303931182795699,0.8913,-0.412631182795699,0.412631182795699
