pathway_id,rho,trial,U_pred,delta_hat,delta_star,regret,nregret,method
PW_0,0.1,0,0.28401748696884377,0.25800599420558595,0.2687938055410137,0.010787811335427722,0.04013415008717592,JL-FGW-U
PW_0,0.1,1,0.2522685642597229,0.19198890959083786,0.20968657109221178,0.017697661501373918,0.08440054394129873,JL-FGW-U
PW_0,0.1,2,0.3381424200936517,0.2710878649416708,0.2719060342184387,0.0008181692767678661,0.0030090146731368023,JL-FGW-U
PW_0,0.1,3,0.2975535157759276,0.2649303454363834,0.2875820595111347,0.022651714074751306,0.07876608619326411,JL-FGW-U
PW_0,0.1,4,0.236010894677659,0.19351410736959307,0.20316961253405086,0.00965550516445779,0.04752435449762941,JL-FGW-U
PW_0,0.1,5,0.23589529163976927,0.19427494877645818,0.20909499254080094,0.01482004376434276,0.07087708259048855,JL-FGW-U
PW_0,0.1,6,0.20854022330156094,0.16767376299057277,0.17901696068962683,0.011343197699054064,0.06336381213108835,JL-FGW-U
PW_0,0.1,7,0.27489414594804584,0.23972654691260423,0.24498951051921283,0.005262963606608606,0.021482402983828315,JL-FGW-U
PW_0,0.1,8,0.2625581895526783,0.21815986578557445,0.2411552109751523,0.022995345189577854,0.09535495477390973,JL-FGW-U
PW_0,0.1,9,0.18794437000760927,0.15882652921937152,0.17319242289448383,0.014365893675112318,0.08294758284193993,JL-FGW-U
PW_0,0.1,10,0.22914984482234188,0.20265954569963596,0.21467825422738995,0.012018708527753996,0.05598474801819539,JL-FGW-U
PW_0,0.1,11,0.24459709182861827,0.19146807077885503,0.20164771292988082,0.010179642151025792,0.05048230648538278,JL-FGW-U
PW_0,0.1,12,0.3003090249234416,0.2465403921505461,0.2589691498024028,0.01242875765185672,0.04799319602897905,JL-FGW-U
PW_0,0.1,13,0.198139596819731,0.16548964748102568,0.18017666832104082,0.014687020840015136,0.08151454992330161,JL-FGW-U
PW_0,0.1,14,0.29610510831805265,0.22265746196830213,0.24212470303552594,0.019467241067223806,0.0804017104374119,JL-FGW-U
PW_0,0.1,15,0.26775019337778067,0.2020072432165547,0.21662207777257442,0.014614834556019723,0.06746696380917276,JL-FGW-U
PW_0,0.1,16,0.18525567979991076,0.1674018702284936,0.17891020996665372,0.011508339738160123,0.06432466373528081,JL-FGW-U
PW_0,0.1,17,0.2231895688985467,0.1823532741935563,0.19109198554000756,0.008738711346451267,0.04573038929106638,JL-FGW-U
PW_0,0.1,18,0.2753859777880219,0.22412054603164497,0.22441482261131354,0.0002942765796685731,0.0013113062815159821,JL-FGW-U
PW_0,0.1,19,0.23992766529746629,0.21064940168639168,0.22899870914507853,0.018349307458686848,0.08012842834750501,JL-FGW-U
PW_0,0.1,20,0.3107317554430797,0.2690608880050426,0.2965170421038471,0.02745615409880453,0.09259553170381835,JL-FGW-U
PW_0,0.1,21,0.3057457852740921,0.24295295649983287,0.2665165053527973,0.02356354885296444,0.08841309073012807,JL-FGW-U
PW_0,0.1,22,0.2757449508884603,0.2164782445794666,0.23884465263318472,0.022366408053718118,0.0936441610506835,JL-FGW-U
PW_0,0.1,23,0.3079590356744001,0.24760337886812273,0.26552119172098837,0.017917812852865644,0.0674816652558458,JL-FGW-U
PW_0,0.1,24,0.299808070437992,0.27757867803016356,0.2930451644343551,0.015466486404191515,0.05277850568276857,JL-FGW-U
PW_0,0.2,0,0.5190003653345148,0.4153521241100667,0.4276141837343887,0.012262059624321975,0.028675520607107156,JL-FGW-U
PW_0,0.2,1,0.46925814418139433,0.42509707865108104,0.44776304096316355,0.02266596231208251,0.05062043923304245,JL-FGW-U
PW_0,0.2,2,0.5280901922292721,0.4503368250037058,0.4776821698539955,0.027345344850289666,0.05724589696573531,JL-FGW-U
PW_0,0.2,3,0.4555407173178822,0.3737562061906859,0.3930729636768411,0.01931675748615519,0.04914292963330561,JL-FGW-U
PW_0,0.2,4,0.43623799638268024,0.3960300837898726,0.42817339314006675,0.03214330935019416,0.07507077533183265,JL-FGW-U
PW_0,0.2,5,0.5250830661430494,0.40310328731051553,0.4440940613672888,0.04099077405677326,0.09230200693868702,JL-FGW-U
PW_0,0.2,6,0.42527485299229123,0.33426061073004726,0.3648646837022741,0.030604072972226837,0.08387786897572351,JL-FGW-U
PW_0,0.2,7,0.49695846979107733,0.43860829058290635,0.4774451049427821,0.03883681435987574,0.08134299240768232,JL-FGW-U
PW_0,0.2,8,0.4676259193889578,0.4364988183595835,0.45757747996671894,0.02107866160713545,0.04606577480170314,JL-FGW-U
PW_0,0.2,9,0.41608570921210597,0.33168023075007474,0.3518366801218129,0.02015644937173816,0.05728921950908416,JL-FGW-U
PW_0,0.2,10,0.4348052565760852,0.4131445244368947,0.4189796292968594,0.00583510485996469,0.013926941341964226,JL-FGW-U
PW_0,0.2,11,0.45144403673809663,0.36781710339444373,0.3988427710385539,0.03102566764411019,0.07778921700255396,JL-FGW-U
PW_0,0.2,12,0.43945900723721626,0.33811727597822544,0.36210238885588997,0.023985112877664527,0.06623848103036224,JL-FGW-U
PW_0,0.2,13,0.44312407832267314,0.3885835786581579,0.4004769858786337,0.011893407220475771,0.029698103368913906,JL-FGW-U
PW_0,0.2,14,0.47139090674670053,0.41023419180880566,0.41139506299446393,0.0011608711856582743,0.002821791659313081,JL-FGW-U
PW_0,0.2,15,0.3552498031410215,0.27511695150117266,0.3044377484236545,0.02932079692248185,0.09631130210096717,JL-FGW-U
PW_0,0.2,16,0.4498626701335128,0.39410858294416046,0.4147341838872808,0.020625600943120326,0.04973209647798196,JL-FGW-U
PW_0,0.2,17,0.4415703156669175,0.3473637976896761,0.3660525074151018,0.01868870972542569,0.05105472257750596,JL-FGW-U
PW_0,0.2,18,0.46626573102265423,0.42968864907021215,0.4649275907218615,0.03523894165164937,0.0757944712186075,JL-FGW-U
