dataset,pathway_id,pathway_name,mask_rate,trial,method,n_pathway_metabolites,n_observed,n_masked,oracle_metabolite,predicted_metabolite,oracle_gain,predicted_gain,regret,normalized_regret,is_top1,is_top3,is_top5
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,38,imputation,7,5,2,Citrulline,Citrulline,10.12949291169622,10.12949291169622,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,39,imputation,7,5,2,Ornithine,Ornithine,1.1950212559690272,1.1950212559690272,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,40,imputation,7,5,2,Arginine,Arginine,2.533868371002132,2.533868371002132,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,41,imputation,7,5,2,creatinine,creatinine,83.99139224984401,83.99139224984401,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,42,imputation,7,5,2,Urea,Urea,1505.5859471035865,1505.5859471035865,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,43,imputation,7,5,2,Urea,Urea,1505.5859471035865,1505.5859471035865,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,44,imputation,7,5,2,creatinine,creatinine,83.99139224984401,83.99139224984401,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,45,imputation,7,5,2,Urea,Urea,1505.5859471035865,1505.5859471035865,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,46,imputation,7,5,2,Arginine,Arginine,2.533868371002132,2.533868371002132,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,47,imputation,7,5,2,4-hydroxy-proline,4-hydroxy-proline,5.189539559200987,5.189539559200987,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,48,imputation,7,5,2,Urea,Urea,1505.5859471035865,1505.5859471035865,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,49,imputation,7,5,2,4-hydroxy-proline,4-hydroxy-proline,5.189539559200987,5.189539559200987,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,50,imputation,7,5,2,Ornithine,Ornithine,1.1950212559690272,1.1950212559690272,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,51,imputation,7,5,2,creatinine,creatinine,83.99139224984401,83.99139224984401,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,52,imputation,7,5,2,Arginine,Arginine,2.533868371002132,2.533868371002132,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,53,imputation,7,5,2,creatinine,creatinine,83.99139224984401,83.99139224984401,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,54,imputation,7,5,2,creatinine,creatinine,83.99139224984401,83.99139224984401,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,55,imputation,7,5,2,Arginine,Arginine,2.533868371002132,2.533868371002132,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,56,imputation,7,5,2,Citrulline,Citrulline,10.12949291169622,10.12949291169622,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,57,imputation,7,5,2,creatinine,creatinine,83.99139224984401,83.99139224984401,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,58,imputation,7,5,2,Arginine,Arginine,2.533868371002132,2.533868371002132,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,59,imputation,7,5,2,Arginine,Arginine,2.533868371002132,2.533868371002132,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,60,imputation,7,5,2,Urea,Urea,1505.5859471035865,1505.5859471035865,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,61,imputation,7,5,2,Urea,Urea,1505.5859471035865,1505.5859471035865,0.0,0.0,1,1,1
