method,mean_normalized_regret,top1_success,top3_success,top5_success
proposed,0.0,1.0,1.0,1.0
imputation,0.06957984999436119,0.8446153846153847,0.9876923076923076,1.0
degree,0.36866178923116366,0.4773076923076923,0.9353846153846154,1.0
random,0.5184116520461708,0.29923076923076924,0.9015384615384616,1.0
